monastery,location,wikidata_entry
Johanniterkommende St. Leonhard,Point(12.08583 49.02148),http://www.wikidata.org/entity/Q28648972
"Johanniterkommende Hl. Grab, Goslar",Point(10.418936 51.90956),http://www.wikidata.org/entity/Q21157942
"Johanniterkommende Velden, Düren",Point(6.47049 50.81148),http://www.wikidata.org/entity/Q21037151
Johanniterkommende Esterwegen,Point(7.632156 52.994058),http://www.wikidata.org/entity/Q28977861
Johanniterkommende Strückhausen,Point(8.379514 53.321346),http://www.wikidata.org/entity/Q28977830
Johanniterkommende Boekzetel,Point(7.506389 53.336111),http://www.wikidata.org/entity/Q28977617
Johanniterkommende Braunschweig,Point(10.521116 52.261893),http://www.wikidata.org/entity/Q28977762
"Templerniederlassung, dann Johanniterkommende Niederbreisig",Point(7.303289 50.506175),http://www.wikidata.org/entity/Q28978030
"Johanniterkommende St. Johannes der Täufer, Hangen-Weisheim",Point(8.186005 49.711757),http://www.wikidata.org/entity/Q28978058
"Johanniterhaus St. Johannes Baptist, Mußbach (Neustadt an der Weinstraße)",Point(8.170355 49.369611),http://www.wikidata.org/entity/Q28978110
Johanniterkomturei (Klein) Krankow,Point(11.335 53.809833333),http://www.wikidata.org/entity/Q15824095
Johanniterkommende Adenau,Point(6.930119991 50.38300304),http://www.wikidata.org/entity/Q28978000
Johanniterkommende Dinslaken,Point(6.73717 51.55683),http://www.wikidata.org/entity/Q28977972
Johanniterkommende Niederweisel,Point(8.68153747 50.4140726),http://www.wikidata.org/entity/Q97591576
Johanniterkommende Roddens,Point(8.287 53.542),http://www.wikidata.org/entity/Q28980566
Johanniterkommende Münster,Point(7.624722 51.965903),http://www.wikidata.org/entity/Q28981725
Johanniterkommende Oldenburg,Point(8.208333333 53.139666666),http://www.wikidata.org/entity/Q28980074
Johanniterkommende Hahn,Point(8.1585 53.2915),http://www.wikidata.org/entity/Q28981653
Johanniterkommende Tjüchen (Wittmund),Point(7.784 53.57333),http://www.wikidata.org/entity/Q28980759
Johanniter-Doppelkommende Inte,Point(8.378789 53.493834),http://www.wikidata.org/entity/Q28981127
Johanniterkommende Weißensee,Point(11.067222 51.201111),http://www.wikidata.org/entity/Q105756435
Johanniterkommende Schleusingen,Point(10.803055555 50.503055555),http://www.wikidata.org/entity/Q63208069
Johanniterkommende Rüdigheim,Point(8.97675743 50.20402248),http://www.wikidata.org/entity/Q107761971
Johanniterkomturei Sülstorf,Point(11.371111 53.507778),http://www.wikidata.org/entity/Q107762015
Johanniterpriorei Eichsen,Point(11.26038 53.74614),http://www.wikidata.org/entity/Q107762047
Johanniterkommende Worms,Point(8.362876 49.632113),http://www.wikidata.org/entity/Q107762010
"Johanniterhaus, später Johanniterkommende Sobernheim",Point(7.65109 49.786335),http://www.wikidata.org/entity/Q107761927
"Johanniterkommende St. Johannes, Nideggen",Point(6.479938 50.689369),http://www.wikidata.org/entity/Q107761981
"Johanniterkommende Nesselhof, Floh-Seligenthal",Point(10.475666666 50.754666666),http://www.wikidata.org/entity/Q107761956
Johanniterhaus Wackenhof,Point(10.254166666 50.875666666),http://www.wikidata.org/entity/Q107761926
Johanniterkommende Frankfurt,Point(8.685079202 50.11210497),http://www.wikidata.org/entity/Q107761934
"Johanniterhaus St. Bonifatius, Tiefenbach",Point(7.611519 49.605923),http://www.wikidata.org/entity/Q107761922
Johanniterkommende Nidda,Point(9.006082842 50.41284364),http://www.wikidata.org/entity/Q107761959
Johanniterkommende Kühndorf,Point(10.491455 50.609641),http://www.wikidata.org/entity/Q107761948
Johanniterkommende Gotha,Point(10.700269971 50.94983198),http://www.wikidata.org/entity/Q107761935
