monastery,geometry,foundingYear,wikidata_entry
Augustinerkloster,Point(9.79518 48.7988),1284,http://www.wikidata.org/entity/Q768504
"Benediktinerinnenkloster St. Maria, Fulda",Point(9.6773 50.553),1626,http://www.wikidata.org/entity/Q817050
Kloster Kaufungen,Point(9.6343 51.2801),1001,http://www.wikidata.org/entity/Q775911
Benediktinerinnen-Abtei Steinfeld,Point(6.56349 50.5022),1955,http://www.wikidata.org/entity/Q817044
Augustinereremitenkloster Einbeck,Point(9.86972 51.8181),1310,http://www.wikidata.org/entity/Q768393
Bergkloster Bestwig,Point(8.40561 51.3601),1862,http://www.wikidata.org/entity/Q819925
"Augustinerchorherrenstift St. Nikolaus (St. Nikola), Passau",Point(13.45680784 48.570467688),1067,http://www.wikidata.org/entity/Q768419
St.-Johannis-Kloster vor Schleswig,Point(9.57892 54.5116),1200,http://www.wikidata.org/entity/Q830467
Kapuzinerkloster Werl,Point(7.91564 51.5537),1789,http://www.wikidata.org/entity/Q831646
"Augustinerchorherrenstift St. Nikolaus (St. Nikola), Passau",Point(13.457233333 48.570783333),1067,http://www.wikidata.org/entity/Q768419
Zisterzienserinnenabtei Rottenmünster,Point(8.63498 48.1509),1201,http://www.wikidata.org/entity/Q831398
St. Blasii und Marien,Point(9.791111 51.736111),1101,http://www.wikidata.org/entity/Q822837
Augustinerkloster Fährbrück,Point(10.045077777 49.917872222),1164,http://www.wikidata.org/entity/Q768513
Beginenhaus bei St. Wolfgang (Heilbronn),Point(9.21889 49.1442),1382,http://www.wikidata.org/entity/Q814326
"Zisterzienserinnenkloster Marienbuch, Rengering",Point(7.90434 52.0269),1247,http://www.wikidata.org/entity/Q1775851
Augustinerchorherrenstift Rebdorf,Point(11.167476561 48.888164669),1156,http://www.wikidata.org/entity/Q1775841
Zisterzienserkloster Raitenhaslach,Point(12.787242812 48.128365956),1143,http://www.wikidata.org/entity/Q1775833
Prämonstratenserinnenstift Rehna,Point(11.0503 53.7803),1236,http://www.wikidata.org/entity/Q1775839
"Benediktinerkloster St. Peter und Paul, Coburg",Point(10.9668 50.2572),1070,http://www.wikidata.org/entity/Q1775953
Zisterzienserkloster Reifenstein,Point(10.36333333 51.34666667),1101,http://www.wikidata.org/entity/Q1775849
Kloster Ramsen,Point(8.01425 49.5318),1146,http://www.wikidata.org/entity/Q1775835
Kloster Rechentshofen,Point(9.03929 48.9882),1230,http://www.wikidata.org/entity/Q1775840
Franziskanerkloster Rietberg,Point(8.42962 51.8086),1726,http://www.wikidata.org/entity/Q1775852
Benediktinerkloster St. Veit,Point(12.5172 48.3587),1101,http://www.wikidata.org/entity/Q1775958
Superiorat Rötz,Point(12.5294 49.3428),1297,http://www.wikidata.org/entity/Q1775874
Kloster Riedern am Wald,Point(8.290072 47.717164),1130,http://www.wikidata.org/entity/Q1775853
Zisterzienserinnenkloster Rulle,Point(8.05365 52.3357),1246,http://www.wikidata.org/entity/Q1775872
Zisterzienserabtei Reinfeld,Point(10.4793 53.8321),1186,http://www.wikidata.org/entity/Q1775850
Kloster Stolpe,Point(13.561441666 53.873252777),1101,http://www.wikidata.org/entity/Q321490
Benediktinerkloster Aachen Burtscheid,Point(6.09333 50.7631),1138,http://www.wikidata.org/entity/Q325202
"Benediktinerabtei St. Alban, Mainz",Point(8.28 49.99),701,http://www.wikidata.org/entity/Q320189
"Benediktinerabtei St. Alban, Mainz",Point(8.28 49.99),901,http://www.wikidata.org/entity/Q320189
Zisterzienserkloster Volkenroda,Point(10.566666666 51.25),1101,http://www.wikidata.org/entity/Q324119
Zisterzienserabtei Schöntal,Point(9.5047 49.3281),1153,http://www.wikidata.org/entity/Q328036
"Paulinerkloster St. Jakob, Donnersberg",Point(7.92509 49.6261),1335,http://www.wikidata.org/entity/Q2318876
St. Johannes (Hilpoltstein),Point(11.19275 49.189416666),1372,http://www.wikidata.org/entity/Q2319197
"Prämonstratenserinnenstift Hopels, später Augustinerchorherren",Point(7.79646 53.4139),1235,http://www.wikidata.org/entity/Q1775366
Kloster der Englischen Fräulein Burghausen (Kloster Heilig Schutzengel),Point(12.8336 48.159),1683,http://www.wikidata.org/entity/Q1775312
Prämonstratenserstift Heiligenberg,Point(8.99269 52.8036),1212,http://www.wikidata.org/entity/Q1775314
Benediktinerinnenkloster Hohenwart,Point(11.375802777 48.597405555),1074,http://www.wikidata.org/entity/Q1775367
Kloster Kemnath,Point(11.8925 49.8711),1658,http://www.wikidata.org/entity/Q1775410
Kloster Heilig-Kreuz,Point(6.87797 49.2765),1960,http://www.wikidata.org/entity/Q1775308
Zisterzienserinnenkloster Himmelkron,Point(11.593427814 50.062393085),1279,http://www.wikidata.org/entity/Q1775349
"Zisterzienserinnenkloster Himmelspforten, Würzburg",Point(9.90477 49.8004),1231,http://www.wikidata.org/entity/Q1775351
Kloster Herz Jesu (Mindelheim),Point(10.486717583 48.045559196),1701,http://www.wikidata.org/entity/Q1775345
Zisterzienserinnenkloster Himmelthal,Point(9.219494806 49.822874418),1232,http://www.wikidata.org/entity/Q1775359
Zisterzienserabtei Ihlow,Point(7.45889 53.4042),1228,http://www.wikidata.org/entity/Q1775381
Benediktinerkloster Ilsenburg,Point(10.678611111 51.859722222),1001,http://www.wikidata.org/entity/Q1775389
Benediktinerinnenkloster Hohenwart,Point(11.376154862 48.597116788),1074,http://www.wikidata.org/entity/Q1775367
Benediktinerabtei Helmarshausen,Point(9.45361 51.6301),901,http://www.wikidata.org/entity/Q1775329
Kloster Hiddensee,Point(13.1097 54.5858),1296,http://www.wikidata.org/entity/Q1775346
Kloster Kleinburlo,Point(7.24995 52.048),1360,http://www.wikidata.org/entity/Q1775420
Kloster Heilsberg,Point(12.3831 49.0072),1796,http://www.wikidata.org/entity/Q1775322
Augustinerchorherrenstift Herrenchiemsee (ab 1215 zugleich Domstift Chiemsee),Point(12.396452133 47.867767418),620,http://www.wikidata.org/entity/Q1775336
Kloster der Englischen Fräulein Burghausen (Kloster Heilig Schutzengel),Point(12.833877677 48.159193869),1683,http://www.wikidata.org/entity/Q1775312
"Zisterzienserinnenkloster Himmelspforten, Würzburg",Point(9.904486379 49.800224361),1231,http://www.wikidata.org/entity/Q1775351
Kartäuserkloster Ilmbach,Point(10.4088 49.804),1401,http://www.wikidata.org/entity/Q1775382
"Kollegiatstift Ilmmünster, zuvor Benediktiner",Point(11.5019 48.4875),701,http://www.wikidata.org/entity/Q1775384
Kloster Herrieden,Point(10.4985 49.233),1463,http://www.wikidata.org/entity/Q1775337
"Prämonstratenserstift Knechtsteden, Dormagen",Point(6.7525 51.077),1101,http://www.wikidata.org/entity/Q1775425
Benediktinerpriorat Hofen,Point(9.4647 47.65005),1085,http://www.wikidata.org/entity/Q1775360
Zisterzienserinnenkloster Himmelthal,Point(9.219444444 49.822222222),1232,http://www.wikidata.org/entity/Q1775359
Kloster Hof,Point(11.915 50.3213),1300,http://www.wikidata.org/entity/Q1775369
Zisterzienserinnenkloster Himmelkron,Point(11.5932 50.0623),1279,http://www.wikidata.org/entity/Q1775349
Benediktinerkloster Kornelimünster,Point(6.178056 50.728611),801,http://www.wikidata.org/entity/Q152432
Abtei Altenberg,Point(7.132777777 51.054722222),1101,http://www.wikidata.org/entity/Q125125
Abtei Corvey,Point(9.41 51.777778),801,http://www.wikidata.org/entity/Q56004
"Kollegiatstift St. Trinitatis/Allerheiligen, Speyer",Point(8.43789 49.3139),1039,http://www.wikidata.org/entity/Q22585
Abtei und Altenmünster des Klosters Lorsch,Point(8.56858 49.65369),852,http://www.wikidata.org/entity/Q157550
Abtei und Altenmünster des Klosters Lorsch,Point(8.568888888 49.653888888),852,http://www.wikidata.org/entity/Q157550
St. Anna (Würzburg),Point(9.93658 49.7951),1714,http://www.wikidata.org/entity/Q2317160
"Kollegiatstift St. Andrä, Freising (zuvor Benediktinerkloster Hugibertsmünster)",Point(11.744 48.399),720,http://www.wikidata.org/entity/Q2317044
Franziskanerkloster Bremen,Point(8.80817 53.0737),1225,http://www.wikidata.org/entity/Q2316265
St. Emmeram,Point(10.926032682 49.174961028),1037,http://www.wikidata.org/entity/Q2318119
St. Emmeram,Point(10.9258 49.175),1037,http://www.wikidata.org/entity/Q2318119
