monastery,location,wikidata_entry
Kloster der Augustinerterziarinnen,Point(10.5692 50.0817),http://www.wikidata.org/entity/Q1561277
"Zisterzienserinnenkloster Abbenrode, zuvor Augustinerchorherrenstift",Point(10.6272 51.9303),http://www.wikidata.org/entity/Q1558997
"Augustinerchorfrauenstift Marienberg, Helmstedt",Point(11.0005 52.2299),http://www.wikidata.org/entity/Q1775593
Augustinerchorherrenstift Beyharting,Point(11.9907 47.9241),http://www.wikidata.org/entity/Q1775028
Augustinerchorfrauenstift Berich an der Eder,Point(9.034 51.1963),http://www.wikidata.org/entity/Q1775024
"Augustinerchorherrenstift St. Maria, Bödingen",Point(7.34056 50.7825),http://www.wikidata.org/entity/Q1775100
Augustinerchorherrenstift Baumburg,Point(12.5308 47.9981),http://www.wikidata.org/entity/Q1774987
"Augustinerchorfrauenstift St. Maria, Gräfrath",Point(7.0725 51.2097),http://www.wikidata.org/entity/Q1775285
Augustinerchorherrenstift Polling,Point(11.1317 47.8117),http://www.wikidata.org/entity/Q882638
"Augustinerinnen-, später Annunziatinnenkloster Wiedenbrück",Point(8.31048 51.83627),http://www.wikidata.org/entity/Q28976503
Augustinerchorherrenstift Porstendorf,Point(11.6425 50.98617),http://www.wikidata.org/entity/Q28976552
Augustinerkloster Esslingen,Point(9.30953415 48.74340758),http://www.wikidata.org/entity/Q28976645
"Augustinerchorherrenstift Schöningen, zuvor Kanonissenstift",Point(10.956619 52.138749),http://www.wikidata.org/entity/Q28976598
"Augustinerchorfrauenstift St. Katharinen, Stendal",Point(11.863862 52.600502),http://www.wikidata.org/entity/Q28976609
Augustinerchorfrauenstift Melverode,Point(10.518544 52.227179),http://www.wikidata.org/entity/Q28976597
"Augustinerchorherrenstift St. Moritz, Naumburg",Point(11.800286 51.1535),http://www.wikidata.org/entity/Q28976545
Augustinerkloster Weil der Stadt,Point(8.8709643 48.75138801),http://www.wikidata.org/entity/Q28976638
Augustinerchorherrenstift Halberstadt (Johanniskirche),Point(11.05133 51.89167),http://www.wikidata.org/entity/Q28976618
Augustinerchorherrenstift Neukirchen an der Pleiße (bei Crimmitschau),Point(12.384333333 50.801333333),http://www.wikidata.org/entity/Q28976556
"Augustinerchorfrauenstift Marienberg, Neuss",Point(6.69342 51.2002),http://www.wikidata.org/entity/Q1529999
"Benediktiner- (Doppel-?) Kloster, später Augustinerchorherren Marienkamp",Point(7.59889 53.6367),http://www.wikidata.org/entity/Q1526501
Augustinerchorherrenstift Höglwörth,Point(12.8453 47.815),http://www.wikidata.org/entity/Q1730820
Augustinerchorherrenstift Triefenstein,Point(9.598983751 49.807637776),http://www.wikidata.org/entity/Q1776170
Augustinerchorherrenstift St. Märgen,Point(8.09215 48.0062),http://www.wikidata.org/entity/Q1776108
"Augustinerchorherrenstift St. Thomas, Leipzig",Point(12.37236977 51.34029007),http://www.wikidata.org/entity/Q1776122
Augustinerbarfüßerkloster Taxa,Point(11.2145 48.3173),http://www.wikidata.org/entity/Q1776145
Augustinerchorherrenstift Triefenstein,Point(9.598402777 49.807702777),http://www.wikidata.org/entity/Q1776170
"Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift",Point(9.91431 52.1139),http://www.wikidata.org/entity/Q896113
Augustinerchorherrenstift Riechenberg,Point(10.4001 51.9237),http://www.wikidata.org/entity/Q1775854
Augustinerchorherrenstift Wechselburg (Kloster Zschillen),Point(12.771111111 51.005),http://www.wikidata.org/entity/Q1776257
"Augustinerchorfrauenstift Weißenstein, zeitweise Doppelstift",Point(9.41611 51.315),http://www.wikidata.org/entity/Q1776269
"Augustinerchorfrauenstift St. Jakob, Creuzburg (Werra)",Point(10.2492545 51.0557414),http://www.wikidata.org/entity/Q1230373
Augustinerchorfrauenstift Wennigsen,Point(9.57418 52.2744),http://www.wikidata.org/entity/Q1776274
Augustinerchorfrauenstift Wülfinghausen,Point(9.66477 52.1409),http://www.wikidata.org/entity/Q1776292
Augustinereremitenkloster Schönthal,Point(12.6062 49.353),http://www.wikidata.org/entity/Q1776018
Augustinereremitenkloster Schönthal,Point(12.606120702 49.353412597),http://www.wikidata.org/entity/Q1776018
Augustinerkloster Konstanz,Point(9.17461366 47.65880752),http://www.wikidata.org/entity/Q28976758
Augustinerresidenz Wiesloch,Point(8.69663821 49.29491531),http://www.wikidata.org/entity/Q28976750
Augustinerinnenkloster Owen,Point(9.45066168 48.58601203),http://www.wikidata.org/entity/Q28976659
Augustinerkloster Engelberg,Point(9.46551324 48.79009234),http://www.wikidata.org/entity/Q28976698
"Augustinerchorfrauenstift Oberstenfeld, später Kanonissenstift",Point(9.31850424 49.02352631),http://www.wikidata.org/entity/Q28976683
Augustinerchorfrauenstift Andernach,Point(7.40673 50.4323),http://www.wikidata.org/entity/Q334309
Augustinereremitenkloster Erfurt,Point(11.03 50.9814),http://www.wikidata.org/entity/Q420158
"Augustinerchorherrenstift Herrenleichnam, Köln",Point(6.95031 50.9455),http://www.wikidata.org/entity/Q1775335
"Benediktinerkloster, später Augustinerchorherrenstift Herbrechtingen",Point(10.1786 48.6185),http://www.wikidata.org/entity/Q1775332
Augustinerinnenkloster Adelheiden bei Hegne (zuvor Benediktinerkloster),Point(9.10202778 47.70847222),http://www.wikidata.org/entity/Q1775307
Augustinerchorherrenstift Herrenchiemsee (ab 1215 zugleich Domstift Chiemsee),Point(12.396452133 47.867767418),http://www.wikidata.org/entity/Q1775336
Augustinereremitenkloster Bedburg (Erft),Point(6.576198 50.997895),http://www.wikidata.org/entity/Q28978238
"Augustinerchorfrauenstift Nazareth, Geldern",Point(6.32117 51.51867),http://www.wikidata.org/entity/Q28978307
"Kanonissenstift Böddeken, später Augustinerchorherren",Point(8.679022 51.595897),http://www.wikidata.org/entity/Q28978184
"Augustinerinnenkloster auf der Brede, Brakel",Point(9.181646 51.719684),http://www.wikidata.org/entity/Q28978191
"Augustinerchorfrauenstift Welschnonnenkloster, Bonn",Point(7.101747 50.739228),http://www.wikidata.org/entity/Q28978251
"Augustinerinnenkloster Marienkamp, Dinslaken",Point(6.735028 51.562614),http://www.wikidata.org/entity/Q28978261
"Augustinereremitenkloster St. Katharina, Aachen",Point(6.082513 50.777593),http://www.wikidata.org/entity/Q28978209
Augustinerchorfrauenstift Alfter,Point(7.007078 50.738322),http://www.wikidata.org/entity/Q28978237
"Franziskanerinnen-, später Augustinerinnenkloster St. Isidor, Bonn",Point(7.101312 50.749121),http://www.wikidata.org/entity/Q28978245
"Augustinerinnenkloster Großer Konvent, Emmerich",Point(6.241688 51.833397),http://www.wikidata.org/entity/Q28978299
"Augustinerinnenkloster St. Ursula, Emmerich-Elten",Point(6.15667 51.87083),http://www.wikidata.org/entity/Q28978294
"Birgittendoppelkloster Marienforst, früher Augustinerchorfrauenstift Kottenforst, Bonn/Bad Godesberg",Point(7.136894 50.672521),http://www.wikidata.org/entity/Q28978312
"Augustinerchorherrenstift St. Johannes Baptista, Aachen",Point(6.089875 50.778633),http://www.wikidata.org/entity/Q28978208
Augustinerinnenkloster Dalheim,Point(8.841388888 51.565277777),http://www.wikidata.org/entity/Q28978200
"Augustinerchorherrenstift St. Maria, Gaesdonck",Point(6.120093 51.65323),http://www.wikidata.org/entity/Q28978306
Augustinerkloster Münnerstadt,Point(10.193722052 50.250320193),http://www.wikidata.org/entity/Q1125548
Augustinereremitenkloster Wesel,Point(6.612071 51.658046),http://www.wikidata.org/entity/Q26778514
Augustinereremitenkloster Windsheim,Point(10.4192 49.5032),http://www.wikidata.org/entity/Q1589748
"Benediktiner-(Doppel-?)Kloster, später Augustinerchorherrenstift Sielmönken",Point(7.15117 53.4281),http://www.wikidata.org/entity/Q1776038
"Augustinerchorherrenstift, dann Kollegiatstift St. Maria, Springiersbach",Point(7.06945 50.0252),http://www.wikidata.org/entity/Q1776057
"Augustinereremitenkloster Tittmoning, Allerheiligen",Point(12.7672 48.0611),http://www.wikidata.org/entity/Q1267227
Augustinerchorherrenstift Beuerberg,Point(11.412196353 47.828867587),http://www.wikidata.org/entity/Q1275401
"Augustinerchorherrenstift, später Prämonstratenserstift Langenselbold",Point(9.0375 50.1741),http://www.wikidata.org/entity/Q1281527
Augustinerchorherrenstift Neunkirchen am Brand,Point(11.1301 49.6126),http://www.wikidata.org/entity/Q1257145
"Benediktinerkloster, dann Augustinerchorherrenstift Schlehdorf",Point(11.3181 47.6578),http://www.wikidata.org/entity/Q280517
Augustinerchorherrenstift Weyarn,Point(11.7964 47.8575),http://www.wikidata.org/entity/Q1235580
Augustinerinnenkloster Tübingen,Point(9.05589643 48.52130768),http://www.wikidata.org/entity/Q28977290
Augustinerinnenkloster Böblingen,Point(9.01206324 48.68466294),http://www.wikidata.org/entity/Q28977341
Augustinerchorherrenstift Allerheiligen,Point(7.85460509 47.99495792),http://www.wikidata.org/entity/Q28977322
