monastery,location,wikidata_entry
"Benediktinerpropstei Georgenberg, Pfeddersheim (Worms)",Point(8.271289 49.643485),http://www.wikidata.org/entity/Q1776079
"Benediktiner-(Doppel-?)Kloster, später Augustinerchorherrenstift Sielmönken",Point(7.15117 53.4281),http://www.wikidata.org/entity/Q1776038
Benediktinerkloster Solnhofen,Point(10.989154531 48.893421833),http://www.wikidata.org/entity/Q1776050
Benediktinerkloster Mönchsroth,Point(10.3653 49.02),http://www.wikidata.org/entity/Q1775689
Benediktinerkloster Neuenberg (Andreasberg),Point(9.6618 50.5524),http://www.wikidata.org/entity/Q1775703
Benediktinerkloster Münchsteinach,Point(10.5973 49.6379),http://www.wikidata.org/entity/Q1775696
Benediktinerkloster Schlüchtern,Point(9.52506 50.3459),http://www.wikidata.org/entity/Q1776000
Benediktinerinnenkloster Schmerlenbach,Point(9.2284 49.9862),http://www.wikidata.org/entity/Q1776001
Benediktinerinnenkloster Schaaken,Point(8.8353 51.1997),http://www.wikidata.org/entity/Q1775989
"Benediktinerkloster Schönau, Strüth",Point(7.894167 50.140556),http://www.wikidata.org/entity/Q1776015
Benediktinerkloster Seeon,Point(12.448055555 47.974722222),http://www.wikidata.org/entity/Q895731
"Adliges Damenstift Frauenalb, zuvor Benediktinerinnenkloster",Point(8.44103 48.834),http://www.wikidata.org/entity/Q983972
Benediktinerkloster Weihenstephan,Point(11.728333333 48.395138888),http://www.wikidata.org/entity/Q882703
"Kollegiatstift Isen, zuvor Benediktinerkloster",Point(12.0578 48.2122),http://www.wikidata.org/entity/Q882610
Benediktinerkloster Rinchnach,Point(13.200450469 48.949498265),http://www.wikidata.org/entity/Q882243
Benediktinerkloster Rinchnach,Point(13.200277777 48.949444444),http://www.wikidata.org/entity/Q882243
Benediktinerkloster Weihenstephan,Point(11.729302802 48.394897626),http://www.wikidata.org/entity/Q882703
Benediktinerkloster Aura an der Saale,Point(10.0076 50.1671),http://www.wikidata.org/entity/Q883052
Benediktinerinnenabtei Kloster Zella (genannt Friedensspring),Point(10.2749 51.2176),http://www.wikidata.org/entity/Q1776300
