monastery,location,wikidata_entry
Zisterzienserinnenkloster Machern,Point(7.00157 49.9549),http://www.wikidata.org/entity/Q1775557
"Zisterzienserinnenkloster Levern, später Damenstift",Point(8.45416667 52.37444444),http://www.wikidata.org/entity/Q1775517
"Zisterzienserinnenkloster Marienborn, Büdingen",Point(9.0138 50.2457),http://www.wikidata.org/entity/Q1775601
"Zisterzienserinnenkloster Marienborn, Zülpich-Hoven",Point(6.64444 50.6839),http://www.wikidata.org/entity/Q1775597
Zisterzienserinnenkloster Lindow,Point(12.992 52.9731),http://www.wikidata.org/entity/Q1775524
Zisterzienserinnenkloster Saarn (Mariensaal),Point(6.88164 51.403),http://www.wikidata.org/entity/Q206088
Zisterzienserkloster Pforta,Point(11.7527 51.1422),http://www.wikidata.org/entity/Q206083
"Zisterzienserinnenkloster Georgenbusch (St. Jöris), Eschweiler-Kinzweiler",Point(6.21083 50.8353),http://www.wikidata.org/entity/Q206092
Zisterzienserinnenkloster Mühlberg an der Elbe,Point(13.2193 51.436),http://www.wikidata.org/entity/Q188086
Zisterzienserkloster Rüde (Rudekloster),Point(9.54355 54.8317),http://www.wikidata.org/entity/Q206099
Zisterzienserabtei Maulbronn,Point(8.8129 49.0011),http://www.wikidata.org/entity/Q157886
Zisterzienserkloster Reifenstein,Point(10.36333333 51.34666667),http://www.wikidata.org/entity/Q1775849
"Zisterzienserinnenkloster Nordshausen, Kassel",Point(9.4331 51.2804),http://www.wikidata.org/entity/Q1775729
"Zisterzienserinnenkloster Marienbuch, Rengering",Point(7.90434 52.0269),http://www.wikidata.org/entity/Q1775851
Zisterzienserinnenkloster Stadtroda (Roda),Point(11.7228 50.8611),http://www.wikidata.org/entity/Q1775863
Zisterzienserabtei Reinfeld,Point(10.4793 53.8321),http://www.wikidata.org/entity/Q1775850
Zisterzienserkloster Raitenhaslach,Point(12.787242812 48.128365956),http://www.wikidata.org/entity/Q1775833
Zisterzienserinnenkloster Rosenthal im Pommerbachthal (bei Binningen),Point(7.2261 50.1992),http://www.wikidata.org/entity/Q1775869
Zisterzienserinnenkloster Rulle,Point(8.05365 52.3357),http://www.wikidata.org/entity/Q1775872
"Zisterzienserinnenkloster St. Johanniszelle unter Wildberg, Bad Königshofen",Point(10.4189 50.2575),http://www.wikidata.org/entity/Q1775945
"Zisterzienserinnenkloster St. Agnes, Lauingen",Point(10.4289 48.5693),http://www.wikidata.org/entity/Q1775940
Zisterzienserkloster Marienstatt,Point(7.803055555 50.685),http://www.wikidata.org/entity/Q334038
"Zisterzienserinnenkloster Seligenporten, später Salesianerinnen",Point(11.3082 49.2654),http://www.wikidata.org/entity/Q1776028
"Zisterzienserinnenkloster Seligenporten, später Salesianerinnen",Point(11.308313288 49.265323178),http://www.wikidata.org/entity/Q1776028
Zisterzienserinnenkloster Welver,Point(7.96563 51.6241),http://www.wikidata.org/entity/Q1776270
"Zisterzienserinnenkloster, später Augustinerchorherrenstift Kirschgarten, Worms",Point(8.35991 49.6317),http://www.wikidata.org/entity/Q1775418
Zisterzienserinnenkloster Lilienthal,Point(8.91146 53.1414),http://www.wikidata.org/entity/Q2750912
Zisterzienserinnenkloster Niederschönenfeld,Point(10.9307 48.7198),http://www.wikidata.org/entity/Q2750919
"Zisterzienserkloster St. Maria und St. Disibod Disibodenberg, Odernheim, zuvor Benediktiner(doppel)kloster, Kollegiatstift",Point(7.70119 49.7766),http://www.wikidata.org/entity/Q565067
Zisterzienserabtei Lehnin,Point(12.743333333 52.320277777),http://www.wikidata.org/entity/Q561860
