monastery,location,wikidata_entry
Dominikanerkloster Pforzheim,Point(8.70382852 48.89124359),http://www.wikidata.org/entity/Q28976752
Dominikanerinnenkloster Heiligenzimmern,Point(8.72804926 48.33153007),http://www.wikidata.org/entity/Q28977132
Dominikanerinnenkloster Gruol,Point(8.77628828 48.34472762),http://www.wikidata.org/entity/Q28977111
Dominikanerinnenkloster Mengen,Point(9.32954001 48.04921169),http://www.wikidata.org/entity/Q28977221
Dominikanerinnenkloster Binsdorf,Point(8.76091183 48.30656616),http://www.wikidata.org/entity/Q28977107
Dominikanerinnenkloster Buchhorn,Point(9.4796688 47.65089361),http://www.wikidata.org/entity/Q28977165
"Dominikanerinnenkloster Hl. Kreuz, Rangendingen",Point(8.88671035 48.37993451),http://www.wikidata.org/entity/Q28977127
Dominikanerinnenkloster Kirchheim,Point(9.45345739 48.64991173),http://www.wikidata.org/entity/Q28977237
Dominikanerinnenkloster Weiler,Point(9.27091775 48.73806463),http://www.wikidata.org/entity/Q28977151
Dominikanerkloster Ulm,Point(9.99684981 48.39729381),http://www.wikidata.org/entity/Q28977142
Dominikanerinnenkloster Rubacker,Point(9.40272491 47.81732732),http://www.wikidata.org/entity/Q28977173
Dominikanerinnenkloster Hl. Kreuz Meersburg,Point(9.2719985 47.69504351),http://www.wikidata.org/entity/Q28977174
"Dominikanerinnenkloster Maria zu den Engeln, Pfullendorf",Point(9.25511259 47.92476812),http://www.wikidata.org/entity/Q28977225
Dominikanerkloster Heidelberg,Point(8.69775875 49.41083632),http://www.wikidata.org/entity/Q28976854
Dominikanerinnenkloster Dornstetten,Point(8.50023795 48.46856664),http://www.wikidata.org/entity/Q28976897
Dominikanerinnenkloster Wildberg,Point(8.74843295 48.62396036),http://www.wikidata.org/entity/Q28976893
"Dominikanerinnenkloster St. Katharina von Siena/ auf dem Graben, Freiburg",Point(7.84720872 47.99676366),http://www.wikidata.org/entity/Q28976912
Dominikanerinnenkloster Altburg,Point(8.70054878 48.72514694),http://www.wikidata.org/entity/Q28976888
Dominikanerinnenkloster Nagold,Point(8.72594968 48.55232758),http://www.wikidata.org/entity/Q28976890
Dominikanerinnenkloster Bopfingen,Point(10.35098432 48.85757716),http://www.wikidata.org/entity/Q28976811
"Dominikanerinnenkloster St. Agnes, Freiburg",Point(7.84523475 47.99454936),http://www.wikidata.org/entity/Q28976917
Dominikanerinnenkloster Heidelberg,Point(8.70163989 49.4093628),http://www.wikidata.org/entity/Q28976870
Dominikanerkloster Schwäbisch Gmünd,Point(9.79595783 48.79998137),http://www.wikidata.org/entity/Q28976824
Dominikanerinnenkloster Altheim,Point(8.63233659 48.47177057),http://www.wikidata.org/entity/Q28976902
Dominikanerinnenkloster Horb,Point(8.68684096 48.44493488),http://www.wikidata.org/entity/Q28976904
Dominikanerinnenkloster Oberndorf,Point(8.57223235 48.29145132),http://www.wikidata.org/entity/Q28976968
"Dominikanerinnenkloster Klause von St. Moritz, Rottweil",Point(8.63940976 48.1593367),http://www.wikidata.org/entity/Q28976971
Dominikanerinnenkloster Hausen,Point(8.58967288 48.14952031),http://www.wikidata.org/entity/Q28976969
Dominikanerinnenkloster Riegel,Point(7.74775389 48.15010855),http://www.wikidata.org/entity/Q28976952
Dominikanerinnenkloster Engen,Point(8.76982777 47.85281048),http://www.wikidata.org/entity/Q28977009
Dominikanerinnenkloster Offenhausen,Point(9.36872038 48.39914539),http://www.wikidata.org/entity/Q28977060
"Dominikanerinnenkloster Klause bei St. Jakob, Rottweil",Point(8.6388069 48.15713144),http://www.wikidata.org/entity/Q28976970
"Dominikanerinnenkloster Klingental, Schweiz",Point(7.90434066 47.62991661),http://www.wikidata.org/entity/Q28977057
