monastery,geometry,year,wikidata_entry
"Augustinerchorherrenstift St. Maria, Gaesdonck",Point(6.120093 51.65323),1360,http://www.wikidata.org/entity/Q28978306
Augustinereremitenkloster Bedburg (Erft),Point(6.576198 50.997895),1281,http://www.wikidata.org/entity/Q28978238
"Birgittendoppelkloster Marienforst, früher Augustinerchorfrauenstift Kottenforst, Bonn/Bad Godesberg",Point(7.136894 50.672521),1228,http://www.wikidata.org/entity/Q28978312
Zisterzienserinnenkloster Niederwerth (zeitweilig Augustinerchorherren),Point(7.613131 50.392677),1275,http://www.wikidata.org/entity/Q28978115
"Augustinerchorherrenstift St. Johannes Baptista, Aachen",Point(6.089875 50.778633),1421,http://www.wikidata.org/entity/Q28978208
"Augustinereremitenkloster St. Katharina, Aachen",Point(6.082513 50.777593),1279,http://www.wikidata.org/entity/Q28978209
"Kollegiatstift, dann Augustinerchorfrauenstift Katlenburg",Point(10.0997937 51.6761812),1100,http://www.wikidata.org/entity/Q28978165
Augustinerchorfrauenstift Arnsberg,Point(8.064269 51.397824),1685,http://www.wikidata.org/entity/Q28978169
"Augustinerchorherrenstift St. Maria, Hördt",Point(8.329992 49.165294),1103,http://www.wikidata.org/entity/Q28978072
Augustinerchorfrauenstift Königshofen an der Heide,Point(10.5381 49.1453),1422,http://www.wikidata.org/entity/Q28978459
Augustinerchorherrenstift Weyarn,Point(11.7964 47.8575),1133,http://www.wikidata.org/entity/Q28978834
Augustinerchorherrenstift Porstendorf,Point(11.6425 50.98617),1204,http://www.wikidata.org/entity/Q28976552
"Augustinerchorherrenstift Schöningen, zuvor Kanonissenstift",Point(10.956619 52.138749),979,http://www.wikidata.org/entity/Q28976598
Augustinereremitenkloster Lippstadt,Point(8.348046 51.676477),1275,http://www.wikidata.org/entity/Q28978379
Augustinerchorfrauenstift Lippstadt,Point(8.34005 51.67529),1180,http://www.wikidata.org/entity/Q28978378
"Augustinerchorfrauenstift St. Barbara, Euskirchen-Stotzheim",Point(6.78683 50.65717),1340,http://www.wikidata.org/entity/Q28978335
"Augustinerchorherrenstift St. Maria, Hane, später Prämonstratenserinnenstift",Point(8.014017 49.643878),1079,http://www.wikidata.org/entity/Q17319117
"Augustinerchorherrenstift auf dem Petersberg, Goslar",Point(10.44629 51.91063),1056,http://www.wikidata.org/entity/Q28979442
Augustinerchorherrenstift Salzwedel,Point(11.16057 52.8462),1247,http://www.wikidata.org/entity/Q28979475
Augustinerchorfrauenstift Salzwedel,Point(11.153565 52.849698),1485,http://www.wikidata.org/entity/Q28979480
Augustinerresidenz Wiesloch,Point(8.69663821 49.29491531),1738,http://www.wikidata.org/entity/Q28976750
"Augustinerchorfrauenstift Oberstenfeld, später Kanonissenstift",Point(9.31850424 49.02352631),1016,http://www.wikidata.org/entity/Q28976683
Augustinerchorherrenstift Halberstadt (Johanniskirche),Point(11.05133 51.89167),1023,http://www.wikidata.org/entity/Q28976618
Augustinerkloster Weil der Stadt,Point(8.8709643 48.75138801),1294,http://www.wikidata.org/entity/Q28976638
Augustinerchorfrauenstift Breisach,Point(7.57681871 48.03121926),1731,http://www.wikidata.org/entity/Q28976928
Augustinerchorfrauenstift Riedern am Wald,Point(8.2883444 47.71766435),1247,http://www.wikidata.org/entity/Q28977054
Augustinerkloster Breisach,Point(7.57665822 48.03266527),1271,http://www.wikidata.org/entity/Q28976929
Augustinereremitenkloster Osnabrück,Point(8.04958333 52.27263889),1287,http://www.wikidata.org/entity/Q15106959
"Augustinerchorherrenstift, später Kollegiatstift St. Maria, Flonheim",Point(8.0366 49.786179),1121,http://www.wikidata.org/entity/Q28977544
Augustinerchorfrauenstift Rastatt,Point(8.20675141 48.8558335),1767,http://www.wikidata.org/entity/Q28976848
Augustinerkloster Heidelberg,Point(8.70638522 49.41082254),1279,http://www.wikidata.org/entity/Q28976860
Augustinerchorfrauenstift Handschuhsheim,Point(8.68817 49.40217),1475,http://www.wikidata.org/entity/Q28976867
Augustinerchorfrauenstift Heidelberg,Point(8.705896 49.4096704),1700,http://www.wikidata.org/entity/Q28976872
Augustinerinnenkloster Giengen,Point(10.24260073 48.62112927),1463,http://www.wikidata.org/entity/Q28976805
Augustinerchorherrenstift Steinheim,Point(10.07022247 48.68693454),1190,http://www.wikidata.org/entity/Q28976809
Augustinerinnenkloster Calw,Point(8.73788223 48.71530105),1450,http://www.wikidata.org/entity/Q28976889
Augustinerchorfrauen vom Heiligen Grab Baden-Baden,Point(8.24281078 48.76343599),1670,http://www.wikidata.org/entity/Q28976826
Augustinerkloster Konstanz,Point(9.17461366 47.65880752),1268,http://www.wikidata.org/entity/Q28976758
Augustinerinnenkloster Wurzach,Point(9.89962988 47.90936445),1273,http://www.wikidata.org/entity/Q28977197
Augustinerkloster Tübingen,Point(9.05349848 48.51956424),1262,http://www.wikidata.org/entity/Q28977086
"Augustinerchorherrenstift St. Michael zu den Wengen, Ulm",Point(9.98719917 48.39895088),1183,http://www.wikidata.org/entity/Q28977137
Augustinerchorfrauenstift Obernkirchen,Point(9.127488888 52.269211111),1167,http://www.wikidata.org/entity/Q19309565
Augustinerchorfrauenstift Obernkirchen,Point(9.127488888 52.269211111),1814,http://www.wikidata.org/entity/Q19309565
Augustinerchorfrauenstift Lübeck,Point(10.68964722 53.86238333),1502,http://www.wikidata.org/entity/Q18674701
Augustinerchorfrauenstift Lübeck,Point(10.68964722 53.86238333),1515,http://www.wikidata.org/entity/Q18674701
Augustinerinnenkloster St. Katharina bei Konstanz,Point(9.1692517 47.71307681),1260,http://www.wikidata.org/entity/Q19963227
Augustinerinnenkloster St. Katharina bei Konstanz,Point(9.173 47.69683333),1260,http://www.wikidata.org/entity/Q19963227
Augustinerinnenkloster Böblingen,Point(9.01206324 48.68466294),1481,http://www.wikidata.org/entity/Q28977341
Augustinerinnenkloster Tübingen,Point(9.05589643 48.52130768),1310,http://www.wikidata.org/entity/Q28977290
