monastery,geometry,year,wikidata_entry
"Wilhelmiten-, später Zisterzienserkloster Groß-Burlo (Borken)",Point(6.77811 51.9064),1245,http://www.wikidata.org/entity/Q1775612
"Zisterzienserinnenkloster Marienborn, Büdingen",Point(9.0138 50.2457),1250,http://www.wikidata.org/entity/Q1775601
"Wilhelmiten-, später Zisterzienserkloster Groß-Burlo (Borken)",Point(6.778339 51.906099),1245,http://www.wikidata.org/entity/Q1775612
"Zisterzienserinnenkloster Marienbuch, Rengering",Point(7.90434 52.0269),1247,http://www.wikidata.org/entity/Q1775851
Zisterzienserkloster Raitenhaslach,Point(12.787242812 48.128365956),1143,http://www.wikidata.org/entity/Q1775833
"Zisterzienserkloster Rosengarten, Neuenkamp",Point(12.8756 54.1861),1231,http://www.wikidata.org/entity/Q1775707
Zisterzienserkloster Reifenstein,Point(10.36333333 51.34666667),1101,http://www.wikidata.org/entity/Q1775849
Zisterzienserinnenkloster Rulle,Point(8.05365 52.3357),1246,http://www.wikidata.org/entity/Q1775872
Zisterzienserabtei Reinfeld,Point(10.4793 53.8321),1186,http://www.wikidata.org/entity/Q1775850
"Zisterzienserkloster St. Maria und Peter, Heisterbach",Point(7.21389 50.6953),1101,http://www.wikidata.org/entity/Q897297
Zisterzienserabtei Zinna,Point(13.1039 52.0225),1101,http://www.wikidata.org/entity/Q895983
Zisterzienserabtei Riddagshausen,Point(10.5773 52.2674),1101,http://www.wikidata.org/entity/Q896558
Zisterzienserinnenkloster Heydau (auch Haydau),Point(9.61783 51.0662),1235,http://www.wikidata.org/entity/Q892609
Zisterzienserabtei Himmelpfort,Point(13.2293 53.1778),1299,http://www.wikidata.org/entity/Q935936
Zisterzienserabtei Neuzelle,Point(14.6522 52.0906),1268,http://www.wikidata.org/entity/Q895757
"Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift",Point(9.91431 52.1139),1125,http://www.wikidata.org/entity/Q896113
Zisterzienserabtei Scharnebeck,Point(10.5109 53.293),1243,http://www.wikidata.org/entity/Q1775992
"Zisterzienserinnenkloster Seligenporten, später Salesianerinnen",Point(11.3082 49.2654),1242,http://www.wikidata.org/entity/Q1776028
"Zisterzienserinnenkloster Seligenporten, später Salesianerinnen",Point(11.308313288 49.265323178),1242,http://www.wikidata.org/entity/Q1776028
Zisterzienserabtei Schönau,Point(8.8094 49.4359),1142,http://www.wikidata.org/entity/Q1776013
"Zisterzienserinnen-, später Benediktinerinnenkloster St. Georg, Leipzig",Point(12.3702 51.3348),1230,http://www.wikidata.org/entity/Q1233754
Zisterzienserinnenkloster Bersenbrück,Point(7.95008 52.5554),1231,http://www.wikidata.org/entity/Q1255289
Zisterzienserkloster Langheim,Point(11.1101 50.1122),1132,http://www.wikidata.org/entity/Q1357562
Zisterzienserinnenkloster Mariengarten,Point(9.86833 51.4458),1245,http://www.wikidata.org/entity/Q1308394
Zisterzienserinnenkloster Malchow,Point(12.4315 53.4715),1201,http://www.wikidata.org/entity/Q1319469
Zisterzienserinnenkloster Gnadenthal,Point(8.2152 50.3093),1201,http://www.wikidata.org/entity/Q1237152
Zisterzienserinnenkloster Thron (bei Wehrheim),Point(8.5776 50.2847),1243,http://www.wikidata.org/entity/Q1267457
Zisterzienserinnenkloster Sonnefeld,Point(11.134025606 50.221536294),1260,http://www.wikidata.org/entity/Q1776049
Zisterzienserinnenkloster Heiligengrabe,Point(12.3512 53.1415),1287,http://www.wikidata.org/entity/Q1776128
Zisterzienserabtei Tennenbach,Point(7.8961 48.1449),1158,http://www.wikidata.org/entity/Q1776149
Zisterzienserinnenkloster Welver,Point(7.96563 51.6241),1240,http://www.wikidata.org/entity/Q1776270
"Zisterzienserinnenkloster Georgenberg, Frankenberg",Point(8.79209 51.0569),1242,http://www.wikidata.org/entity/Q1776081
Zisterzienserkloster Georgenthal,Point(10.6592 50.8289),1142,http://www.wikidata.org/entity/Q1447960
Zisterzienserinnenkloster Mariensee (Neustadt am Rübenberge),Point(9.48667 52.5586),1201,http://www.wikidata.org/entity/Q1419394
Zisterzienserkloster Michaelstein,Point(10.9142 51.8061),1139,http://www.wikidata.org/entity/Q1441940
Zisterzienserkloster Gotteszell,Point(12.965645034 48.963838867),1285,http://www.wikidata.org/entity/Q1508069
Zisterzienserabtei Mariental (Vallis s. Mariae),Point(10.9851 52.2759),1101,http://www.wikidata.org/entity/Q1486473
Zisterzienserinnenkloster Schale,Point(7.62566 52.4465),1278,http://www.wikidata.org/entity/Q1473800
Zisterzienserkloster Gotteszell,Point(12.9655 48.9638),1285,http://www.wikidata.org/entity/Q1508069
Zisterzienserinnenkloster Wechterswinkel,Point(10.221076677 50.387639095),1134,http://www.wikidata.org/entity/Q1487733
Zisterzienserinnenkloster Wald,Point(9.17299444 47.93761111),1212,http://www.wikidata.org/entity/Q1487626
Zisterzienserinnenkloster Wanzka,Point(13.230691 53.406287),1233,http://www.wikidata.org/entity/Q1554781
Zisterzienserinnenkloster Benninghausen,Point(8.23989 51.6577),1240,http://www.wikidata.org/entity/Q1565994
"Zisterzienserinnenkloster Abbenrode, zuvor Augustinerchorherrenstift",Point(10.6272 51.9303),1091,http://www.wikidata.org/entity/Q1558997
Zisterzienserinnenkloster Zehdenick,Point(13.3379 52.9776),1250,http://www.wikidata.org/entity/Q1776306
"Zisterzienserinnenkloster zum Heiligen Kreuz, Rostock",Point(12.1325 54.0872),1201,http://www.wikidata.org/entity/Q1776346
Zisterzienserinnenkloster Patershausen (Heusenstamm),Point(8.8065 50.034),1252,http://www.wikidata.org/entity/Q2056776
Zisterzienserabtei Marienfeld,Point(8.28109 51.9465),1185,http://www.wikidata.org/entity/Q1617000
Zisterzienserkloster Haina,Point(8.9765 51.0297),1144,http://www.wikidata.org/entity/Q1686253
Zisterzienserinnenkloster Sterkrade,Point(6.849357218 51.516907547),1240,http://www.wikidata.org/entity/Q1696045
Zisterzienserniederlassung Frauenberg,Point(9.03724404 47.79335049),1350,http://www.wikidata.org/entity/Q28977259
Zisterzienserkloster Eckenweiher,Point(8.86555818 48.95867088),1138,http://www.wikidata.org/entity/Q28977279
Zisterzienserkonvent Birnau,Point(9.21929895 47.74619767),1384,http://www.wikidata.org/entity/Q28977176
Zisterzienserinnenkloster Maurach,Point(9.22351584 47.74069419),1750,http://www.wikidata.org/entity/Q28977175
Zisterzienserinnenkloster Wasserleben,Point(10.757891218 51.920848929),1295,http://www.wikidata.org/entity/Q28977541
"Kollegiatstift Sangerhausen, später Zisterzienserinnenkloster",Point(11.3015 51.474389),1069,http://www.wikidata.org/entity/Q28977439
Zisterzienserinnenkloster St. Katharina,Point(11.62869 52.248476),1225,http://www.wikidata.org/entity/Q28977488
"Zisterzienserinnenkloster St. Marien (Graues Kloster), Aschersleben",Point(11.45617 51.7555),1267,http://www.wikidata.org/entity/Q28977490
Zisterzienserinnenkloster Roßleben,Point(11.427972 51.295222),1100,http://www.wikidata.org/entity/Q28977873
"Zisterzienserinnenkloster St. Katharinen, Eisenach",Point(10.305667 50.976816),1208,http://www.wikidata.org/entity/Q28977883
Zisterzienserinnenkloster Oberweimar,Point(11.345432 50.965044),1244,http://www.wikidata.org/entity/Q28977872
Zisterzienserinnenkloster Marksußra,Point(10.741242 51.287697),1272,http://www.wikidata.org/entity/Q28977939
"Zisterzienserinnenkloster Frauenbergskloster Neuwerk, Nordhausen",Point(10.7977 51.497275),1233,http://www.wikidata.org/entity/Q28977871
Zisterzienserinnenkloster Kölleda,Point(11.245885229 51.1866895),1167,http://www.wikidata.org/entity/Q28977867
Zisterzienserinnenkloster Sion (bei Mauchenheim),Point(8.024514 49.710482),1247,http://www.wikidata.org/entity/Q15117327
"Zisterzienserinnenkloster Ballhausen, später Großfurra",Point(10.792935 51.38904),1326,http://www.wikidata.org/entity/Q15117201
"Zisterzienserinnenkloster Marienborn, Weidas (bei Alzey)",Point(8.141 49.735),1237,http://www.wikidata.org/entity/Q15117353
"Frauenkloster Heilig Geist, Alzey, später Dominikanerinnen (?), dann Zisterzienserinnen",Point(8.125634 49.745157),1290,http://www.wikidata.org/entity/Q15823909
Zisterzienserinnenkloster Langendorf (Greisslau),Point(11.96365 51.182196),1220,http://www.wikidata.org/entity/Q15114797
