monastery,geometry,year,wikidata_entry
Benediktinerkloster Großcomburg (später Kollegiatstift),Point(9.749722 49.100278),1001,http://www.wikidata.org/entity/Q561890
Benediktinerkloster Großcomburg (später Kollegiatstift),Point(9.749722 49.100278),1078,http://www.wikidata.org/entity/Q561890
"Kollegiatstift Harsefeld, später Benediktiner",Point(9.50167 53.4539),997,http://www.wikidata.org/entity/Q1775299
Benediktinerinnenkloster Hadmersleben,Point(11.295031 51.991804),961,http://www.wikidata.org/entity/Q1775292
Benediktinerpropstei Hagenrode,Point(11.1176 51.6552),1179,http://www.wikidata.org/entity/Q1775295
Benediktinerabtei Helmarshausen,Point(9.45361 51.6301),901,http://www.wikidata.org/entity/Q1775329
Benediktinerpriorat Hofen,Point(9.4647 47.65005),1085,http://www.wikidata.org/entity/Q1775360
"Benediktinerabtei St. Georg, Isny",Point(10.0429 47.6939),1096,http://www.wikidata.org/entity/Q878638
Benediktinerinnenkloster Drübeck,Point(10.714722222 51.855833333),901,http://www.wikidata.org/entity/Q880025
Benediktiner-Doppelkloster Paulinzella,Point(11.1044 50.7025),1102,http://www.wikidata.org/entity/Q879317
"Benediktinerkloster Hasungen, Zierenberg",Point(9.277222222 51.323888888),1001,http://www.wikidata.org/entity/Q877816
Benediktinerkloster Ilsenburg,Point(10.678611111 51.859722222),1001,http://www.wikidata.org/entity/Q1775389
"Kollegiatstift Ilmmünster, zuvor Benediktiner",Point(11.5019 48.4875),701,http://www.wikidata.org/entity/Q1775384
Benediktinerkloster Neuenberg (Andreasberg),Point(9.6618 50.5524),1023,http://www.wikidata.org/entity/Q1775703
Benediktinerinnenkloster Preetz,Point(10.283269444 54.240372222),1201,http://www.wikidata.org/entity/Q1775818
"Benediktinerabtei Pansath, Holtgast",Point(7.55718 53.6344),1201,http://www.wikidata.org/entity/Q1775784
Benediktinerkloster Weihenstephan,Point(11.729302802 48.394897626),801,http://www.wikidata.org/entity/Q882703
"Birgittenkloster, zuvor Benediktinerkloster Altomünster",Point(11.2565 48.3886),750,http://www.wikidata.org/entity/Q881844
"Kollegiatstift Isen, zuvor Benediktinerkloster",Point(12.0578 48.2122),701,http://www.wikidata.org/entity/Q882610
Benediktinerkloster Rinchnach,Point(13.200450469 48.949498265),1001,http://www.wikidata.org/entity/Q882243
Benediktinerabtei Prüfening,Point(12.045555555 49.009166666),1119,http://www.wikidata.org/entity/Q881589
Benediktinerkloster Weihenstephan,Point(11.728333333 48.395138888),801,http://www.wikidata.org/entity/Q882703
Benediktinerkloster Rinchnach,Point(13.200277777 48.949444444),1001,http://www.wikidata.org/entity/Q882243
Benediktinerkloster Scheyern,Point(11.453130928 48.5023203),1101,http://www.wikidata.org/entity/Q881489
"Benediktinerkloster Schönau, Strüth",Point(7.894167 50.140556),1126,http://www.wikidata.org/entity/Q1776015
Benediktinerinnenkloster Schmerlenbach,Point(9.2284 49.9862),1218,http://www.wikidata.org/entity/Q1776001
"Benediktinerkloster St. Peter und Paul, Coburg",Point(10.9668 50.2572),1070,http://www.wikidata.org/entity/Q1775953
Benediktinerkloster St. Veit,Point(12.5172 48.3587),1101,http://www.wikidata.org/entity/Q1775958
Benediktinerkloster Tegernbach/Kirchstetten,Point(12.0956 48.3233),800,http://www.wikidata.org/entity/Q1776142
"Benediktinerkloster St. Maria ad Martyres, Trier",Point(6.64722 49.7697),667,http://www.wikidata.org/entity/Q1776104
Benediktinerkloster Theres,Point(10.4472 50.0192),1001,http://www.wikidata.org/entity/Q1776158
Benediktinerkloster Seeon,Point(12.448055555 47.974722222),901,http://www.wikidata.org/entity/Q895731
Benediktinerkloster Aura an der Saale,Point(10.0076 50.1671),1108,http://www.wikidata.org/entity/Q883052
"Kollegiatstift St. Andrä, Freising (zuvor Benediktinerkloster Hugibertsmünster)",Point(11.744 48.399),720,http://www.wikidata.org/entity/Q2317044
Schottenkloster Würzburg (Benediktiner),Point(9.92047 49.7957),1134,http://www.wikidata.org/entity/Q2249213
Benediktinerkloster Gröningen,Point(11.1969 51.9372),901,http://www.wikidata.org/entity/Q1231913
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094722222 48.851111111),1101,http://www.wikidata.org/entity/Q1345581
"Zisterzienserinnen-, später Benediktinerinnenkloster St. Georg, Leipzig",Point(12.3702 51.3348),1230,http://www.wikidata.org/entity/Q1233754
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094720021 48.850890083),1101,http://www.wikidata.org/entity/Q1345581
"Benediktinerkloster Vornbach, früher Stift",Point(13.4423 48.486),1001,http://www.wikidata.org/entity/Q1776251
Benediktinerkloster Reichenbach,Point(12.348333333 49.182777777),1101,http://www.wikidata.org/entity/Q1373920
Benediktinerkloster Ensdorf,Point(11.9364 49.3409),1101,http://www.wikidata.org/entity/Q1565235
Benediktinerpriorat Oberried,Point(7.95416667 47.93416667),1237,http://www.wikidata.org/entity/Q1479032
Benediktinerabtei Lorch,Point(9.70317 48.7988),1102,http://www.wikidata.org/entity/Q1539999
"Benediktinerkloster St. Peter am Madron (Petersberg), Flintsbach",Point(12.1259 47.7124),701,http://www.wikidata.org/entity/Q1486721
"Benediktinerkloster St. Mang, Füssen",Point(10.6995 47.5666),801,http://www.wikidata.org/entity/Q1527304
Benediktinerkloster Ebersberg,Point(11.9715 48.0776),934,http://www.wikidata.org/entity/Q1516250
Benediktinerabtei Wessobrunn,Point(11.026401125 47.876644285),701,http://www.wikidata.org/entity/Q7984160
Benediktinerinnenkloster Holzen,Point(10.8145 48.6042),1150,http://www.wikidata.org/entity/Q1659486
"Benediktinerabtei St. Maria, Stade",Point(9.495346 53.587361),1147,http://www.wikidata.org/entity/Q1664839
"Benediktinerkloster Huysburg, Huy",Point(11.0019 51.9602),1001,http://www.wikidata.org/entity/Q1639470
Benediktinerkloster Bürgel,Point(11.75 50.935),1133,http://www.wikidata.org/entity/Q1719948
Benediktinerkloster Wimmelburg,Point(11.5143 51.5197),988,http://www.wikidata.org/entity/Q1632674
"Benediktinerkloster St. Ägidien, Braunschweig",Point(10.525547 52.259559),1115,http://www.wikidata.org/entity/Q28976589
"Benediktinerabtei St. Godehard, Hildesheim",Point(9.949224 52.144827),1133,http://www.wikidata.org/entity/Q28976449
Benediktinerinnenkloster Remse (Remisch),Point(12.564495 50.855054),1145,http://www.wikidata.org/entity/Q28976546
"Kanonissenstift Ringelheim, später Benediktiner",Point(10.31107 52.03507),884,http://www.wikidata.org/entity/Q28976586
"Benediktinerkloster Ballenstedt, zuvor Kollegiatstift",Point(11.218279 51.718667),1038,http://www.wikidata.org/entity/Q28976616
Benediktinerkloster Arneburg,Point(12.007876 52.672933),928,http://www.wikidata.org/entity/Q28976602
"Kollegiatstift St. Pauli, Bremen, später Benediktinerkloster",Point(8.80533 53.07283),1045,http://www.wikidata.org/entity/Q28977807
Benediktinerkloster Baugulfsmünster (Wolfsmünster),Point(9.73717 50.12033),780,http://www.wikidata.org/entity/Q28977937
Benediktinerkloster Reinhardsbrunn,Point(10.5575 50.868333),1085,http://www.wikidata.org/entity/Q28977765
Benediktinerkloster Oldisleben,Point(11.172222 51.308889),1080,http://www.wikidata.org/entity/Q28977786
"Benediktinerkloster, später Kollegiatstift St. Bonifatius, Hameln",Point(9.354391 52.101721),802,http://www.wikidata.org/entity/Q28977893
Benediktinerkloster Creuzburg (Werra),Point(10.24 51.05217),1001,http://www.wikidata.org/entity/Q28977932
"Benediktinerinnenkloster, später Cölestinerpriorat Schönfeld, Bad Dürkheim",Point(8.174528 49.465446),1223,http://www.wikidata.org/entity/Q28977945
"Benediktinerpropstei St. Martin, Grünstadt",Point(8.166145 49.562975),1240,http://www.wikidata.org/entity/Q28977930
"Benediktinerkloster St. Jakob, Erfurt",Point(11.032778 50.979722),1131,http://www.wikidata.org/entity/Q28977935
"Benediktinerinnenkloster Neumünster, Ottweiler",Point(7.169815 49.402158),1005,http://www.wikidata.org/entity/Q28977943
Benediktinerkloster Chemnitz,Point(12.915061 50.845395),1136,http://www.wikidata.org/entity/Q28977848
"Benediktinerinnenkloster St. Georg, Leipzig",Point(12.37224 51.33504),1230,http://www.wikidata.org/entity/Q28977790
Benediktinerinnenkloster Veilsdorf (später Benediktinerkloster),Point(10.818068 50.417116),1153,http://www.wikidata.org/entity/Q28977936
Benediktinerkloster Weilheim,Point(9.53767175 48.61569169),1073,http://www.wikidata.org/entity/Q28976667
Benediktinerpropstei Schriesheim,Point(8.66435347 49.47591357),1100,http://www.wikidata.org/entity/Q28976743
Benediktinerpropstei St. Ilgen,Point(8.67295215 49.33631979),1150,http://www.wikidata.org/entity/Q28976738
"Benediktinerkloster, später Kollegiatstift St. Cyriakus, Wiesensteig",Point(9.6259753 48.56181936),861,http://www.wikidata.org/entity/Q28976673
Benediktinerniederlassung Tuniberg/Rimsingen,Point(7.68858096 48.00423654),1072,http://www.wikidata.org/entity/Q28976960
"Benediktinerabtei St. Georg, Villingen",Point(8.456371067 48.061188795),1566,http://www.wikidata.org/entity/Q28976993
Benediktinerinnenpriorat Bollschweil,Point(7.78768943 47.91994634),1087,http://www.wikidata.org/entity/Q28976933
Benediktinerinnenkloster Sulzburg,Point(7.71046015 47.84128941),1000,http://www.wikidata.org/entity/Q28976943
Benediktinerpriorat Grüningen,Point(7.64638653 47.9839608),1077,http://www.wikidata.org/entity/Q28976931
"Benediktinerkloster St. Gangolph, Münsterappel",Point(7.877253 49.735142),803,http://www.wikidata.org/entity/Q28978107
Benediktinerkloster Jadele,Point(8.1355 53.39233),1101,http://www.wikidata.org/entity/Q28978163
Benediktinerpropstei Offenbach am Glan,Point(7.550278 49.624444),1150,http://www.wikidata.org/entity/Q28978122
"Benediktinerinnenkloster St. Nikomedes, Mainz",Point(8.275317 49.990622),1401,http://www.wikidata.org/entity/Q28978093
"Benediktiner-, später Zisterzienserinnekloster Mariacron, Oppenheim",Point(8.320833 49.704181),813,http://www.wikidata.org/entity/Q28978125
"Benediktinerpropstei Apollinarisberg, Remagen",Point(7.221262 50.581),1110,http://www.wikidata.org/entity/Q28978024
"Benediktinerinnenkloster Seligenstatt, Seck",Point(8.041863 50.581929),1131,http://www.wikidata.org/entity/Q28978131
Benediktinerpropstei Taben,Point(6.5976 49.546751),957,http://www.wikidata.org/entity/Q28978135
"Benediktinerinnenkloster Rolandswerth/Nonnenwerth, Remagen",Point(7.209755 50.63972),1112,http://www.wikidata.org/entity/Q28978117
"Benediktinerinnenkloster Hausen, Bad Dürkheim",Point(8.141623 49.45858),1096,http://www.wikidata.org/entity/Q28978061
Benediktinerkloster Sponheim,Point(7.725121378 49.845662572),1124,http://www.wikidata.org/entity/Q28978132
"Benediktinerinnenkloster St. Irminen, Trier(-Oeren)",Point(6.630301 49.757011),659,http://www.wikidata.org/entity/Q28978138
Benediktinerinnenkloster Bonn-Schwarzrheindorf,Point(7.114967 50.750687),1144,http://www.wikidata.org/entity/Q28978331
"Benediktinerinnenkloster St. Anna und Joachim, Aachen",Point(6.081143 50.773029),1513,http://www.wikidata.org/entity/Q28978210
"Benediktinerinnenkloster Dietkirchen, Bonn",Point(7.092 50.7265),965,http://www.wikidata.org/entity/Q28978249
Benediktinerkloster Marsberg,Point(8.852222 51.452778),826,http://www.wikidata.org/entity/Q28978912
"Frauenstift St. Marien Überwasser, Münster, später Benediktinerinnen",Point(7.6225 51.964167),1035,http://www.wikidata.org/entity/Q28978929
"Benediktinerkloster St. Stephan, Würzburg",Point(9.9348 49.7895),1014,http://www.wikidata.org/entity/Q28978865
Benediktinerkloster (?) Ensmad,Point(9.34399919 48.19378311),1378,http://www.wikidata.org/entity/Q28977163
Benediktinerabtei Langenau,Point(10.12081519 48.49646099),1095,http://www.wikidata.org/entity/Q28977159
Benediktinerpropstei Hindebach,Point(9.00574259 48.53304792),1100,http://www.wikidata.org/entity/Q28977088
Benediktinerkloster (?) Königseggwald,Point(9.42184988 47.92954608),1083,http://www.wikidata.org/entity/Q28977191
Benediktinerkloster (?) Altenburg,Point(9.18614253 48.54467708),1085,http://www.wikidata.org/entity/Q28977066
Benediktinerpropstei Grafenhausen,Point(8.26116905 47.77518953),1096,http://www.wikidata.org/entity/Q28977240
Benediktinerkloster (?) Altshausen,Point(9.53886784 47.9351717),1100,http://www.wikidata.org/entity/Q28977336
Benediktinerpropstei Bissingen,Point(9.49099723 48.59970461),1284,http://www.wikidata.org/entity/Q28977320
Benediktinerinnenkloster (?) Kentheim,Point(8.7306784 48.69517729),1100,http://www.wikidata.org/entity/Q28977297
Benediktinerpropstei Krozingen,Point(7.69746507 47.91529824),1383,http://www.wikidata.org/entity/Q28977318
Benediktinerinnenkloster Jagstzell,Point(10.09784629 49.03060856),1170,http://www.wikidata.org/entity/Q28976815
Benediktinerabtei Gottesaue,Point(8.42733025 49.00450269),1094,http://www.wikidata.org/entity/Q28976829
Benediktinerabtei Anhausen,Point(10.1496724 48.61815618),1125,http://www.wikidata.org/entity/Q28976807
"Benediktinerkloster St. Jakob zu den Schotten, Konstanz",Point(9.17384058 47.66651665),1142,http://www.wikidata.org/entity/Q28976760
Benediktinerkloster (?) Enzklösterle,Point(8.47166244 48.6678979),1145,http://www.wikidata.org/entity/Q28976892
Benediktinerinnenkloster Giengen,Point(10.24522679 48.6214606),1412,http://www.wikidata.org/entity/Q28976804
"Benediktinerpriorat St. Nikolaus, Rippoldsau",Point(8.33001619 48.42674866),1140,http://www.wikidata.org/entity/Q28976901
